round,alive_nodes,dead_nodes,residual_energy,energy_consumed_round,throughput_round,cumulative_throughput
842,3,51,0.545178,6e-06,0,19789
843,3,51,0.545172,6e-06,0,19789
844,3,51,0.545166,6e-06,0,19789
845,3,51,0.54516,6e-06,0,19789
846,3,51,0.545154,6e-06,0,19789
847,3,51,0.545148,6e-06,0,19789
848,3,51,0.545142,6e-06,0,19789
849,3,51,0.545136,6e-06,0,19789
850,3,51,0.54513,6e-06,0,19789
851,3,51,0.545124,6e-06,0,19789
852,3,51,0.545118,6e-06,0,19789
853,3,51,0.545112,6e-06,0,19789
854,3,51,0.545106,6e-06,0,19789
855,3,51,0.5451,6e-06,0,19789
856,3,51,0.545094,6e-06,0,19789
857,3,51,0.545088,6e-06,0,19789
858,3,51,0.545082,6e-06,0,19789
859,3,51,0.545076,6e-06,0,19789
860,3,51,0.54507,6e-06,0,19789
861,3,51,0.545064,6e-06,0,19789
862,3,51,0.545058,6e-06,0,19789
863,3,51,0.545052,6e-06,0,19789
864,3,51,0.545046,6e-06,0,19789
865,3,51,0.54504,6e-06,0,19789
866,3,51,0.545034,6e-06,0,19789
867,3,51,0.545028,6e-06,0,19789
868,3,51,0.545022,6e-06,0,19789
869,3,51,0.545016,6e-06,0,19789
870,3,51,0.54501,6e-06,0,19789
871,3,51,0.545004,6e-06,0,19789
872,3,51,0.544998,6e-06,0,19789
873,3,51,0.544992,6e-06,0,19789
874,3,51,0.544986,6e-06,0,19789
875,3,51,0.536963,0.008023,1,19790
876,3,51,0.536957,6e-06,0,19790
877,3,51,0.536951,6e-06,0,19790
878,2,52,0.534179,0.008023,1,19791
879,2,52,0.534175,4e-06,0,19791
880,2,52,0.534171,4e-06,0,19791
881,2,52,0.534167,4e-06,0,19791
882,2,52,0.534163,4e-06,0,19791
883,2,52,0.534159,4e-06,0,19791
884,2,52,0.534155,4e-06,0,19791
885,2,52,0.534151,4e-06,0,19791
886,2,52,0.534147,4e-06,0,19791
887,2,52,0.534143,4e-06,0,19791
888,2,52,0.534139,4e-06,0,19791
889,2,52,0.534135,4e-06,0,19791
890,2,52,0.534131,4e-06,0,19791
891,2,52,0.534127,4e-06,0,19791
892,2,52,0.534123,4e-06,0,19791
893,2,52,0.534119,4e-06,0,19791
894,2,52,0.534115,4e-06,0,19791
895,2,52,0.534111,4e-06,0,19791
896,2,52,0.534107,4e-06,0,19791
897,2,52,0.534103,4e-06,0,19791
898,2,52,0.534099,4e-06,0,19791
899,2,52,0.534095,4e-06,0,19791
900,2,52,0.534091,4e-06,0,19791
901,2,52,0.534087,4e-06,0,19791
902,2,52,0.534083,4e-06,0,19791
903,2,52,0.534079,4e-06,0,19791
904,2,52,0.534075,4e-06,0,19791
905,2,52,0.534071,4e-06,0,19791
906,2,52,0.534067,4e-06,0,19791
907,2,52,0.534063,4e-06,0,19791
908,2,52,0.534059,4e-06,0,19791
909,2,52,0.534055,4e-06,0,19791
910,2,52,0.534051,4e-06,0,19791
911,2,52,0.534047,4e-06,0,19791
912,2,52,0.534043,4e-06,0,19791
913,2,52,0.534039,4e-06,0,19791
914,2,52,0.534035,4e-06,0,19791
915,2,52,0.534031,4e-06,0,19791
916,2,52,0.534027,4e-06,0,19791
917,2,52,0.534023,4e-06,0,19791
918,2,52,0.534019,4e-06,0,19791
919,2,52,0.534015,4e-06,0,19791
920,2,52,0.534011,4e-06,0,19791
921,2,52,0.534007,4e-06,0,19791
922,2,52,0.534003,4e-06,0,19791
923,2,52,0.533999,4e-06,0,19791
924,2,52,0.533995,4e-06,0,19791
925,2,52,0.533991,4e-06,0,19791
926,2,52,0.533987,4e-06,0,19791
927,2,52,0.533983,4e-06,0,19791
928,2,52,0.533979,4e-06,0,19791
929,2,52,0.533975,4e-06,0,19791
930,2,52,0.533971,4e-06,0,19791
931,2,52,0.533967,4e-06,0,19791
932,2,52,0.533963,4e-06,0,19791
933,2,52,0.533959,4e-06,0,19791
934,2,52,0.533955,4e-06,0,19791
935,2,52,0.533951,4e-06,0,19791
936,2,52,0.533947,4e-06,0,19791
937,2,52,0.533943,4e-06,0,19791
938,2,52,0.533939,4e-06,0,19791
939,2,52,0.533935,4e-06,0,19791
940,2,52,0.533931,4e-06,0,19791
941,2,52,0.533927,4e-06,0,19791
942,2,52,0.533923,4e-06,0,19791
943,2,52,0.533919,4e-06,0,19791
944,2,52,0.533915,4e-06,0,19791
945,2,52,0.533911,4e-06,0,19791
946,2,52,0.533907,4e-06,0,19791
947,2,52,0.533903,4e-06,0,19791
948,2,52,0.533899,4e-06,0,19791
949,2,52,0.533895,4e-06,0,19791
950,2,52,0.533891,4e-06,0,19791
951,2,52,0.533887,4e-06,0,19791
952,2,52,0.533883,4e-06,0,19791
953,2,52,0.533879,4e-06,0,19791
954,2,52,0.533875,4e-06,0,19791
955,2,52,0.533871,4e-06,0,19791
956,2,52,0.533867,4e-06,0,19791
957,2,52,0.533863,4e-06,0,19791
958,2,52,0.533859,4e-06,0,19791
959,2,52,0.533855,4e-06,0,19791
960,2,52,0.533851,4e-06,0,19791
961,2,52,0.533847,4e-06,0,19791
962,2,52,0.533843,4e-06,0,19791
963,2,52,0.533839,4e-06,0,19791
964,2,52,0.533835,4e-06,0,19791
965,2,52,0.533831,4e-06,0,19791
966,2,52,0.533827,4e-06,0,19791
967,2,52,0.533823,4e-06,0,19791
968,2,52,0.533819,4e-06,0,19791
969,2,52,0.533815,4e-06,0,19791
970,2,52,0.533811,4e-06,0,19791
971,2,52,0.533807,4e-06,0,19791
972,2,52,0.533803,4e-06,0,19791
973,2,52,0.533799,4e-06,0,19791
974,2,52,0.533795,4e-06,0,19791
975,2,52,0.533791,4e-06,0,19791
976,2,52,0.533787,4e-06,0,19791
977,2,52,0.533783,4e-06,0,19791
978,2,52,0.533779,4e-06,0,19791
979,2,52,0.533775,4e-06,0,19791
980,2,52,0.533771,4e-06,0,19791
981,2,52,0.533767,4e-06,0,19791
982,2,52,0.533763,4e-06,0,19791
983,2,52,0.533759,4e-06,0,19791
984,2,52,0.533755,4e-06,0,19791
985,2,52,0.533751,4e-06,0,19791
986,2,52,0.533747,4e-06,0,19791
987,2,52,0.533743,4e-06,0,19791
988,2,52,0.533739,4e-06,0,19791
989,2,52,0.533735,4e-06,0,19791
990,2,52,0.533731,4e-06,0,19791
991,2,52,0.533727,4e-06,0,19791
992,2,52,0.533723,4e-06,0,19791
993,2,52,0.533719,4e-06,0,19791
994,2,52,0.533715,4e-06,0,19791
995,2,52,0.533711,4e-06,0,19791
996,2,52,0.533707,4e-06,0,19791
997,2,52,0.533703,4e-06,0,19791
